word_a,word_b,pmi,count
ydar,oror,4.487280552945385,14
dalady,oladada,4.487280552945385,7
olal,oldada,4.487280552945385,7
oladaba,odadad,4.38774487939447,8
opaiin,chol,4.38774487939447,14
daiin,oladaba,4.38774487939447,1
oror,dalady,4.264888131608936,6
oldada,shol,3.9023180522242282,7
kydar,olal,3.9023180522242282,14
okaiin,opaiin,3.9023180522242282,14
chol,daodar,3.8027823786733137,14
qokain,ydar,3.7954028483077162,13
odadad,qokeey,3.7096729742818324,7
dair,okaiin,3.3173555515030717,14
qokeey,shol,3.3173555515030717,14
oladada,qokain,2.9023180522242282,7
okaiin,oladada,2.9023180522242282,7
oror,dalad,2.9023180522242282,7
olal,dair,2.9023180522242282,7
oladada,kydar,2.9023180522242282,7
oladaba,qokeey,2.8027823786733137,7
daodar,oladaba,2.8027823786733137,7
shedy,oladaba,2.7356681828147766,7
daodar,qokeey,2.3173555515030717,7
shol,daodar,2.3173555515030717,7
dalad,qokain,2.3173555515030717,7
dalad,kydar,2.3173555515030717,7
shol,dalad,2.3173555515030717,7
kydar,dair,2.3173555515030717,7
shol,kydar,2.3173555515030717,7
qokeey,dalad,2.3173555515030717,7
dalad,dair,2.3173555515030717,7
shedy,okaiin,2.250241355644535,7
shedy,qokain,2.250241355644535,7
qokain,shedy,2.250241355644535,7
dair,shedy,2.250241355644535,7
daodar,shedy,2.0278489343080874,6
shedy,dalady,1.027848934308087,1
odadad,shedy,0.8352038563656912,1
chol,ydar,0.5803899573368657,1
oror,shedy,0.02784893430808691,1
qokain,chol,-0.004572543384290369,1
